Overflow Type,Municipality/Facility,NPDES #,Date Discovered,Time Discovered,Days,Minutes,Hours,Location,Zip Code,Latitude,Longitude,Collection-System,Quantity in Gallons (Estimated),Net in Gallons (Estimated),Cause,Watershed,Receiving waters,County,Comments,Penalty Collected,Penalty Notes
SSO,"Navy, Department of",N/A,3/28/2005,1:30:00 PM,,,,"Patuxent River Naval Air Station, behind bldg. 1586 on Buse Rd",20670,,,NAS WWTP,5000,5000,Blockage,,Pond,St. Mary's,Duration not provided,,
SSO,Howard County DPW,N/A,3/29/2005,9:30:00 AM,0,3,0,Rear of 9709 Starling Drive,21042,,,,3000,3000,Blockage,,Patapsco River,Howard,Collection system not provided,,
SSO,Calvert County Bureau of Utilities Division of Water and Sewer,N/A,3/29/2005,10:10:00 AM,0,3,0,MD/4 & Dares Beach Rd,20678,,,,10000,10000,Blockage,,Unknown,Calvert,Collection system not provided,,
SSO,"Annapolis, City of",N/A,3/30/2005,9:00:00 AM,0,1,0,701 Glenwood St,21401,,,,1000,1000,Blockage,,College Creek,Anne Arundel,Collection system not provided,,
SSO,WSSC,N/A,3/30/2005,11:45:00 AM,0,6,0,"4303 Harvard St, MH 0510630M",20902,,,,5000,5000,Blockage,,Rock Creek Stream,Montgomery,Collection system not provided,,
SSO,City of Baltimore,N/A,3/30/2005,3:00:00 PM,1,0,0,4818 Seton Dr,21216,,,Patapsco WWTP,19800,19800,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,3/31/2005,7:15:00 AM,0,3,0,"2613 Oxon Run Dr, MH 18034043m",20748,,,,180,180,Blockage,,Unknown,Prince George's,Collection system not provided,,
SSO,Baltimore County DPW,N/A,3/31/2005,11:40:00 AM,0,3,40,1900 E. Joppa Rd,21234,,,Back River WWTP,125,125,Blockage,,Storm drain,Baltimore County,None,,
SSO,City of Baltimore,N/A,4/3/2005,12:00:00 PM,0,2,0,6000 Hillen Road,21202,,,Back River WWTP,1200,1200,Blockage,,Herring Run,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,"Frederick, City of",N/A,4/6/2005,9:20:00 AM,0,0,55,"1001 Motter Ave, MH #411",21701,,,,200,200,Blockage,,Monocacy River,Frederick,Collection system not provided,,
SSO,"Army, Department of",N/A,4/6/2005,1:25:00 PM,0,1,25,"Liewellyen Ave MH, Ft. Meade",20755,,,Ft. Meade WWTP,10000,10000,Blockage,,Burba Lake and Franklin Branch,Anne Arundel,None,,
SSO,WSSC,N/A,4/7/2005,9:09:00 AM,0,1,0,"16312 Pond Meadow Ln, MH 14132039U",20716,,,,340,340,Blockage,,Unknown,Prince George's,Collection system not provided,,
SSO,Baltimore County DPW,N/A,4/7/2005,5:50:00 PM,0,1,15,10 Hinesleigh Ct,21234,,,Back River WWTP,500,500,Blockage,,Unknown Creek,Baltimore County,None,,
SSO,MES,N/A,4/8/2005,2:30:00 PM,0,4,30,Manokin Village PS on MD/13,21663,,,,0,0,Blockage,,Unknown,Somerset,Collection system not provided,,
SSO,City of Baltimore,N/A,4/9/2005,2:41:00 PM,1,9,4,900 Allendale St,21229,,,Patapsco WWTP,8015,8015,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,4/10/2005,8:30:00 AM,0,0,130,900 Allendale St,21229,,,Patapsco WWTP,4550,4550,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,4/11/2005,8:00:00 AM,0,0,225,900 Allendale St,21229,,,Patapsco WWTP,7875,7875,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,"Frostburg, City of",N/A,4/12/2005,1:00:00 PM,1,0,0,"CSO 006/h, MH 200' North of intersection of North Water & Depot Street",21532,,,,78000,78000,Blockage,,Jennings Run,Allegany,Collection system not provided,,
SSO,Harford County Public Schools,N/A,4/14/2005,8:00:00 AM,0,2,30,"2303 Carrs Mill Rd, Fallston High School WWTP",21014,,,,1000,1000,Blockage,,Drainage ditch,Harford,Collection system not provided,,
SSO,Anne Arundel County DPW,N/A,4/18/2005,10:00:00 AM,4,0,0,North West corner of Reese Rd & Mac Arthur Blvd,,,,,5000,5000,Blockage,,Unknown,Anne Arundel,Collection system not provided,,
SSO,City of Baltimore,N/A,4/18/2005,11:05:00 AM,0,0,160,"Forest Park & Purnell Dr CSO Outfall, (DRY WEATHER)",21216,,,Patapsco WWTP,4000,4000,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Garrett County DPW,N/A,4/19/2005,12:00:00 PM,0,2,30,707 Pensinger Rd,21550,,,,500,500,Blockage,,Unknown,Garrett,Collection system not provided,,
SSO,Baltimore County DPW,N/A,4/19/2005,6:00:00 PM,0,4,30,Mitchell Rd & Compass Rd,21220,,,Back River WWTP,500,500,Blockage,,Unknown,Baltimore County,None,,
SSO,Baltimore County DPW,N/A,4/19/2005,6:40:00 PM,0,0,45,2735 Moores Valley Drive,21209,,,Patapsco WWTP,100,100,Blockage,,Unknown,Baltimore County,None,,
SSO,WSSC,N/A,4/20/2005,4:17:00 PM,0,7,0,"4722 Dorset Ave,",20815,,,,2,2,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,Baltimore County DPW,N/A,4/20/2005,6:15:00 PM,6,14,15,1314 Elm Rd,21227,,,Patapsco WWTP,542400,542400,Blockage,,West Branch,Baltimore County,None,,
SSO,City of Baltimore,N/A,4/22/2005,11:58:00 AM,,,,"Forest Park & Purnell Dr CSO Outfall, (DRY WEATHER)",21216,,,Patapsco WWTP,1220,1220,Blockage,,Gwynn's Falls,City of Baltimore,Duration not provided,,
SSO,City of Baltimore,N/A,4/23/2005,11:00:00 AM,0,3,0,4400 Windsor Mill Rd,21216,,,Patapsco WWTP,2700,2700,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,4/24/2005,8:00:00 AM,0,2,0,4400 Windsor Mill Rd,21216,,,Patapsco WWTP,1200,1200,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,"Frostburg, City of",N/A,4/27/2005,2:00:00 AM,,,,Intersection of Upper Consol Road & Sand Spring Run,21532,,,,4500,4500,Blockage,,Sand Spring Run,Allegany,Duration & collection system not provided,,
SSO,"Centreville, Town of",N/A,4/27/2005,,,,,North Pump Station,21617,,,,13000,13000,Blockage,,Unknown,Queen Anne's,"Duration, collection system & receiving water not provided",,
SSO,"Havre de Grace, City of",N/A,4/29/2005,9:00:00 AM,0,2,30,"Meadows of Bulle Rock, MH between North Lands & Timonium Courts",21078,,,Havre de Grace WWTP,10,10,Blockage,,Unknown,Harford,None,,
SSO,Harford County DPW,N/A,4/29/2005,10:00:00 AM,0,1,15,MH #2 behind 213 Jackson Blvd,21014,,,,5760,5760,Blockage,,Bynum Run,Harford,Collection system not provided,,
SSO,City of Baltimore,N/A,5/2/2005,10:00:00 AM,0,1,0,12 Edgevale Rd,21286,,,,420,420,Blockage,,Jones Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Baltimore County DPW,N/A,5/3/2005,2:00:00 PM,0,2,0,Dead End of E. Boundary Rd (100' off road in R.O.W.) below 2106 E. Boundary Rd,21237,,,Back River WWTP,500,500,Blockage,,Unknown,Baltimore County,Collection system not provided,,
SSO,Carroll County DPW,N/A,5/3/2005,6:00:00 PM,,,,"6410 Locust Lane, MH 233-2",21784,,,,8000,8000,Blockage,,Unknown,Carroll,Duration & collection system not provided,,
SSO,Howard County DPW,N/A,5/9/2005,11:00:00 AM,0,1,0,"9005 Red Branch Rd, MH #2974",21045,,,,1000,1000,Blockage,,Little Patuxent River,Howard,Collection system not provided,,
SSO,Baltimore County DPW,N/A,5/14/2005,2:30:00 PM,0,0,32,"Honey Go Blvd, White Marsh across from the park",21128,,,Back River WWTP,100,100,Blockage,,Unknown,Baltimore County,None,,
SSO,Howard County DPW,N/A,5/14/2005,8:00:00 PM,0,24,0,"9358 Furrow Ave, Mt. Hebron PS",21042,,,,125000,125000,Blockage,,Patapsco River,Howard,Collection system not provided,,
SSO,Baltimore County DPW,N/A,5/15/2005,6:45:00 PM,0,1,0,Fairmount & Bosley Aves,21204,,,Back River WWTP,1000,1000,Blockage,,Storm drain,Baltimore County,None,,
SSO,City of Baltimore,N/A,5/16/2005,10:07:00 AM,0,1,37,"Forest Park & Purnell Dr CSO Outfall, (DRY WEATHER)",21216,,,Patapsco WWTP,980,980,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Allegany County DPW,N/A,5/18/2005,10:00:00 AM,0,2,0,Georges Creek WWTP,21521,,,Cumberland WWTP,12000,12000,Blockage,,Georges Creek,Allegany,None,,
SSO,Allegany County DPW,N/A,5/19/2005,6:00:00 AM,,,,Georges Creek WWTP,21521,,,Cumberland WWTP,6000,6000,Blockage,,Georges Creek,Allegany,Duration not provided,,
SSO,City of Baltimore,N/A,5/20/2005,8:00:00 AM,0,11,30,2803 Dukeland St,,,,,690000,690000,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,5/23/2005,3:42:00 PM,0,6,0,"6806 Bradley Blvd, MH 07047025U",20817,,,,180,180,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,City of Baltimore,N/A,5/24/2005,5:00:00 AM,0,3,35,2803 Dukeland St,,,,,107850,107850,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,5/24/2005,5:00:00 PM,0,4,0,2803 Dukeland St,,,,,3600,3600,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,5/25/2005,5:30:00 AM,0,8,30,2803 Dukeland St,,,,,22800,22800,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,5/29/2005,6:00:00 AM,0,8,0,2803 Dukeland St,,,,,48000,48000,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,"Fruitland, City of",N/A,5/29/2005,3:00:00 PM,0,1,0,804 W. Main Street,,,,,300,300,Blockage,,Unknown,Wicomico,Collection system not provided,,
SSO,City of Baltimore,N/A,5/30/2005,10:30:00 PM,0,3,0,2803 Dukeland St,,,,,45000,45000,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,5/31/2005,6:30:00 PM,0,12,0,2803 Dukeland St,,,,,108000,108000,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Harford Community College,N/A,6/1/2005,8:00:00 AM,0,2,0,"401 Thomas Run Rd, Bel Air",21015,,,,50,50,Blockage,,Unknown,Harford,Collection system not provided,,
SSO,City of Baltimore,N/A,6/3/2005,7:20:00 PM,0,3,10,2803 Dukeland St,,,,,16150,16150,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Worcester County DPW,N/A,6/3/2005,10:00:00 PM,0,2,30,"45 Anchor Way, Mystic Harbour",,,,,150,150,Blockage,,Unknown,Worcester,Collection system not provided,,
SSO,Howard County DPW,N/A,6/5/2005,2:00:00 PM,0,6,30,"2228 Kaitlins Ct, MH #320",21043,,,,500,500,Blockage,,Unknown,Howard,Collection system not provided,,
SSO,City of Baltimore,N/A,6/6/2005,10:59:00 AM,,,,"Forest Park & Purnell Dr CSO Outfall, (DRY WEATHER)",,,,,1780,1780,Blockage,,Gwynn's Falls,City of Baltimore,"Duration, collection system & zip code not provided",,
SSO,City of Baltimore,N/A,6/7/2005,8:30:00 AM,0,3,10,"Forest Park & Purnell Dr CSO Outfall, (DRY WEATHER)",,,,,1500,1500,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Patuxent Mobile Estates,N/A,6/10/2005,9:30:00 AM,0,2,0,"5380 Sands Rd, Lothian50 yrds upstream from the WWTP",20711,,,Patuxent Mobile Estates WWTP,1500,1500,Blockage,,Patuxent River,Anne Arundel,Collection system not provided,,
SSO,Patuxent Mobile Estates,N/A,6/14/2005,9:30:00 AM,0,2,0,"5380 Sands Rd, Lothian50 yrds upstream from the WWTP",20711,,,Patuxent Mobile Estates WWTP,500,500,Blockage,,Patuxent River,Anne Arundel,Collection system not provided,,
SSO,Patuxent Mobile Estates,N/A,6/14/2005,10:00:00 AM,0,1,0,5380 Sands Rd. Lothian 50 yrds upstream from the WWTP (2nd of the day),20711,,,Patuxent Mobile Estates WWTP,500,500,Blockage,,Patuxent River,Anne Arundel,Collection system not provided,,
SSO,Patuxent Mobile Estates,N/A,6/14/2005,2:00:00 PM,0,2,50,5380 Sands Rd. Lothian 50 yrds upstream from the WWTP (3rd of the day),20711,,,Patuxent Mobile Estates WWTP,500,500,Blockage,,Patuxent River,Anne Arundel,Collection system not provided,,
SSO,Patuxent Mobile Estates,N/A,6/15/2005,7:40:00 AM,0,1,30,"5380 Sands Rd, Lothian50 yrds upstream from the WWTP",20711,,,Patuxent Mobile Estates WWTP,500,500,Blockage,,Patuxent River,Anne Arundel,Collection system not provided,,
SSO,Camp Brown WWTP,N/A,6/15/2005,2:30:00 PM,0,1,0,Camp Brown WWPS,,,,,150,150,Blockage,,Unknown,St. Mary's,Collection system not provided,,
SSO,"Rockville, City of",N/A,6/15/2005,2:45:00 PM,0,18,45,Nelson Street between Aster Boulevard and College Parkway,,,,,2000,2000,Blockage,,Watts Branch,Montgomery,Collection system not provided,,
SSO,Howard County DPW,N/A,6/17/2005,8:00:00 PM,0,3,0,"Furnace Avenue @ Deep Run, Patapsco Interceptor MH #2",21076,,,,7250,7250,Blockage,,Deep Run,Howard,Collection system not provided,,
